"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000030093",6.48238566599705,4.60742119698296,1093.52014556507,8.45761446162121e-240,2.15126604824746e-237
"ENSMUSG00000024421",5.79992471765342,5.4374732812545,1083.21282466295,1.47064183215689e-237,3.67143009987167e-235
"ENSMUSG00000028699",12.1586985507547,4.21916163928592,1063.74680653522,2.50281934460227e-233,6.13463774265149e-231
"ENSMUSG00000028581",7.09425139787064,4.549835044353,1037.6125586442,1.19894874484227e-227,2.88625500521761e-225
"ENSMUSG00000074199",8.73506513524586,5.12051081198894,1029.84212946963,5.85810313458012e-226,1.3854927781978e-223
"ENSMUSG00000030091",8.07214474403881,5.08527988169119,1027.09899800912,2.31205677848763e-225,5.37393748806754e-223
"ENSMUSG00000038295",5.20796547914344,5.38056510851841,1023.02593163305,1.77547588164987e-224,4.05681192551219e-222
"ENSMUSG00000042793",4.15870800446273,6.04945881162589,1017.02792196991,3.57306089783409e-223,8.02807232728356e-221
"ENSMUSG00000029168",8.4243956940083,5.15661492985274,1014.36059377471,1.35772718179344e-222,3.00057707176351e-220
"ENSMUSG00000030792",8.92935257229946,5.3143282161609,998.223939919336,4.36835256596862e-219,9.4983485390037e-217
"ENSMUSG00000040728",12.7360675618883,4.79233215200023,994.736237483094,2.50277118995787e-218,5.35553308124159e-216
"ENSMUSG00000029019",5.42251874093692,4.79936072284434,975.740502166029,3.36876725933078e-214,7.09599240984973e-212
"ENSMUSG00000038840",8.87508834666455,4.13534476114221,966.766384247624,3.00731027962401e-212,6.2371615199402e-210
"ENSMUSG00000027315",8.01480695867604,4.58860097652946,955.090311232634,1.03809802904661e-209,2.12039386811778e-207
"ENSMUSG00000053030",8.12627564168727,5.57087073012332,950.656968281921,9.54849112325648e-209,1.92124192287493e-206
"ENSMUSG00000016028",6.31069292464193,4.65885703859475,947.517899092746,4.59506504409546e-208,9.10971644991924e-206
"ENSMUSG00000022603",9.42756339133857,4.17971239397552,943.877144370689,2.84253436546728e-207,5.55365301171948e-205
"ENSMUSG00000025432",6.43820329124487,6.36550971814706,928.65221936458,5.79802206334022e-204,1.11661622051271e-201
"ENSMUSG00000044393",6.94857416876959,4.4043669202002,926.011108884106,2.17473749844563e-203,4.12924453754163e-201
"ENSMUSG00000015468",5.95999250282167,4.95656359121806,925.875189460534,2.32784027266208e-203,4.35855759941077e-201
"ENSMUSG00000056632",9.88438501098502,4.62724826830468,924.169793899232,5.46606253233668e-203,1.00942450682782e-200
"ENSMUSG00000026638",7.27988811562428,4.90684447073923,920.824780002557,2.91622361415251e-202,5.31265007329595e-200
"ENSMUSG00000044279",8.88751253319247,4.52333813014762,903.82045198861,1.44978074178233e-198,2.605932557329e-196
"ENSMUSG00000118671",6.41243790025173,4.94486394838301,903.65600440725,1.57416804093911e-198,2.79228412630266e-196
"ENSMUSG00000030494",5.76268230340171,5.13208239498116,896.98141958941,4.44656922653926e-197,7.78496100558127e-195
"ENSMUSG00000030739",6.99788576670691,4.25668941723585,896.501702552041,5.65340626243619e-197,9.77097049024388e-195
